,duration,protocol_type,service,flag,logged_in,count,srv_count,serror_rate,dst_host_srv_count,dst_host_srv_serror_rate,labels
0,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,9.0,0.0,False
1,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,19.0,0.0,False
2,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,29.0,0.0,False
3,0.0,b'tcp',b'http',b'SF',1,6.0,6.0,0.0,39.0,0.0,False
4,0.0,b'tcp',b'http',b'SF',1,6.0,6.0,0.0,49.0,0.0,False
5,0.0,b'tcp',b'http',b'SF',1,6.0,6.0,0.0,59.0,0.0,False
6,0.0,b'tcp',b'http',b'SF',1,1.0,2.0,0.0,69.0,0.0,False
7,0.0,b'tcp',b'http',b'SF',1,5.0,5.0,0.0,79.0,0.0,False
8,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,89.0,0.0,False
9,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,99.0,0.0,False
10,0.0,b'tcp',b'http',b'SF',1,18.0,18.0,0.0,109.0,0.0,False
11,0.0,b'tcp',b'http',b'SF',1,1.0,1.0,0.0,119.0,0.0,False
12,0.0,b'tcp',b'http',b'SF',1,11.0,11.0,0.0,129.0,0.0,False
13,0.0,b'tcp',b'http',b'SF',1,4.0,4.0,0.0,139.0,0.0,False
14,0.0,b'tcp',b'http',b'SF',1,1.0,1.0,0.0,149.0,0.0,False
15,0.0,b'tcp',b'http',b'SF',1,11.0,11.0,0.0,159.0,0.0,False
16,0.0,b'tcp',b'http',b'SF',1,2.0,2.0,0.0,169.0,0.0,False
17,0.0,b'tcp',b'http',b'SF',1,12.0,12.0,0.0,179.0,0.0,False
18,0.0,b'tcp',b'http',b'SF',1,2.0,8.0,0.0,189.0,0.0,False
19,0.0,b'tcp',b'http',b'SF',1,7.0,7.0,0.0,199.0,0.0,False
20,0.0,b'tcp',b'http',b'SF',1,17.0,17.0,0.0,209.0,0.0,False
21,0.0,b'tcp',b'http',b'SF',1,5.0,5.0,0.0,219.0,0.0,False
