,duration,protocol_type,service,flag,logged_in,count,srv_count,serror_rate,dst_host_srv_count,dst_host_srv_serror_rate,labels
0,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,9.0,0.0,True
1,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,19.0,0.0,True
2,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,29.0,0.0,True
3,0.0,b'tcp',b'http',b'SF',1,6.0,6.0,0.0,39.0,0.0,True
4,0.0,b'tcp',b'http',b'SF',1,6.0,6.0,0.0,49.0,0.0,True
5,0.0,b'tcp',b'http',b'SF',1,6.0,6.0,0.0,59.0,0.0,True
6,0.0,b'tcp',b'http',b'SF',1,1.0,2.0,0.0,69.0,0.0,True
7,0.0,b'tcp',b'http',b'SF',1,5.0,5.0,0.0,79.0,0.0,True
8,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,89.0,0.0,True
9,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,99.0,0.0,True
10,0.0,b'tcp',b'http',b'SF',1,18.0,18.0,0.0,109.0,0.0,True
11,0.0,b'tcp',b'http',b'SF',1,1.0,1.0,0.0,119.0,0.0,True
12,0.0,b'tcp',b'http',b'SF',1,11.0,11.0,0.0,129.0,0.0,True
13,0.0,b'tcp',b'http',b'SF',1,4.0,4.0,0.0,139.0,0.0,True
14,0.0,b'tcp',b'http',b'SF',1,1.0,1.0,0.0,149.0,0.0,True
15,0.0,b'tcp',b'http',b'SF',1,11.0,11.0,0.0,159.0,0.0,True
16,0.0,b'tcp',b'http',b'SF',1,2.0,2.0,0.0,169.0,0.0,True
17,0.0,b'tcp',b'http',b'SF',1,12.0,12.0,0.0,179.0,0.0,True
18,0.0,b'tcp',b'http',b'SF',1,2.0,8.0,0.0,189.0,0.0,True
19,0.0,b'tcp',b'http',b'SF',1,7.0,7.0,0.0,199.0,0.0,True
20,0.0,b'tcp',b'http',b'SF',1,17.0,17.0,0.0,209.0,0.0,True
21,0.0,b'tcp',b'http',b'SF',1,5.0,5.0,0.0,219.0,0.0,True
22,0.0,b'tcp',b'http',b'SF',1,12.0,12.0,0.0,229.0,0.0,True
23,0.0,b'tcp',b'http',b'SF',1,3.0,3.0,0.0,239.0,0.0,True
24,0.0,b'tcp',b'http',b'SF',1,13.0,13.0,0.0,249.0,0.0,True
25,0.0,b'tcp',b'http',b'SF',1,23.0,23.0,0.0,255.0,0.0,True
26,0.0,b'tcp',b'http',b'SF',1,2.0,2.0,0.0,255.0,0.0,True
27,0.0,b'tcp',b'http',b'SF',1,1.0,1.0,0.0,255.0,0.0,True
28,0.0,b'tcp',b'http',b'SF',1,6.0,6.0,0.0,255.0,0.0,True
29,0.0,b'tcp',b'http',b'SF',1,2.0,10.0,0.0,255.0,0.0,True
30,0.0,b'tcp',b'http',b'SF',1,3.0,3.0,0.0,255.0,0.0,True
32,0.0,b'tcp',b'http',b'SF',1,2.0,25.0,0.0,255.0,0.0,True
33,0.0,b'tcp',b'http',b'SF',1,3.0,13.0,0.0,255.0,0.0,True
42,0.0,b'tcp',b'http',b'SF',1,2.0,13.0,0.0,255.0,0.0,True
43,0.0,b'tcp',b'http',b'SF',1,4.0,14.0,0.0,255.0,0.0,True
46,0.0,b'tcp',b'http',b'SF',1,4.0,4.0,0.0,255.0,0.0,True
50,0.0,b'tcp',b'http',b'SF',1,4.0,5.0,0.0,255.0,0.0,True
51,0.0,b'tcp',b'http',b'SF',1,8.0,8.0,0.0,255.0,0.0,True
52,0.0,b'tcp',b'http',b'SF',1,18.0,18.0,0.0,255.0,0.0,True
53,0.0,b'tcp',b'http',b'SF',1,28.0,28.0,0.0,255.0,0.0,True
54,0.0,b'tcp',b'http',b'SF',1,10.0,10.0,0.0,255.0,0.0,True
55,0.0,b'tcp',b'http',b'SF',1,7.0,7.0,0.0,255.0,0.0,True
58,0.0,b'tcp',b'http',b'SF',1,9.0,10.0,0.0,255.0,0.0,True
59,0.0,b'tcp',b'http',b'SF',1,19.0,20.0,0.0,255.0,0.0,True
62,0.0,b'tcp',b'http',b'SF',1,16.0,17.0,0.0,255.0,0.0,True
64,0.0,b'tcp',b'http',b'SF',1,17.0,17.0,0.0,255.0,0.0,True
69,0.0,b'tcp',b'http',b'SF',1,10.0,20.0,0.0,255.0,0.0,True
70,0.0,b'tcp',b'http',b'SF',1,6.0,34.0,0.0,255.0,0.0,True
71,0.0,b'tcp',b'http',b'SF',1,16.0,33.0,0.0,255.0,0.0,True
73,0.0,b'tcp',b'http',b'SF',1,17.0,18.0,0.0,255.0,0.0,True
74,0.0,b'tcp',b'http',b'SF',1,27.0,28.0,0.0,255.0,0.0,True
75,0.0,b'tcp',b'http',b'SF',1,4.0,10.0,0.0,255.0,0.0,True
76,0.0,b'tcp',b'http',b'SF',1,14.0,20.0,0.0,255.0,0.0,True
77,0.0,b'tcp',b'http',b'SF',1,5.0,19.0,0.0,255.0,0.0,True
78,0.0,b'tcp',b'http',b'SF',1,15.0,34.0,0.0,255.0,0.0,True
80,0.0,b'tcp',b'http',b'SF',1,16.0,16.0,0.0,255.0,0.0,True
82,0.0,b'tcp',b'http',b'SF',1,3.0,9.0,0.0,255.0,0.0,True
83,0.0,b'tcp',b'http',b'SF',1,13.0,19.0,0.0,255.0,0.0,True
84,0.0,b'tcp',b'http',b'SF',1,9.0,14.0,0.0,255.0,0.0,True
85,0.0,b'tcp',b'http',b'SF',1,5.0,5.0,0.0,255.0,0.0,True
87,0.0,b'tcp',b'http',b'SF',1,11.0,11.0,0.0,255.0,0.0,True
89,0.0,b'tcp',b'http',b'SF',1,12.0,12.0,0.0,255.0,0.0,True
91,0.0,b'tcp',b'http',b'SF',1,4.0,7.0,0.0,255.0,0.0,True
92,0.0,b'tcp',b'http',b'SF',1,14.0,18.0,0.0,255.0,0.0,True
94,0.0,b'tcp',b'http',b'SF',1,2.0,11.0,0.0,255.0,0.0,True
96,0.0,b'tcp',b'http',b'SF',1,22.0,22.0,0.0,255.0,0.0,True
97,0.0,b'tcp',b'http',b'SF',1,1.0,26.0,0.0,255.0,0.0,True
100,0.0,b'tcp',b'http',b'SF',1,4.0,23.0,0.0,255.0,0.0,True
104,0.0,b'tcp',b'http',b'SF',1,2.0,34.0,0.0,255.0,0.0,True
108,0.0,b'tcp',b'http',b'SF',1,14.0,14.0,0.0,255.0,0.0,True
109,0.0,b'tcp',b'http',b'SF',1,10.0,29.0,0.0,255.0,0.0,True
115,0.0,b'tcp',b'http',b'SF',1,10.0,14.0,0.0,255.0,0.0,True
116,0.0,b'tcp',b'http',b'SF',1,3.0,8.0,0.0,255.0,0.0,True
121,0.0,b'tcp',b'http',b'SF',1,3.0,17.0,0.0,255.0,0.0,True
128,0.0,b'tcp',b'http',b'SF',1,4.0,4.0,0.25,255.0,0.0,True
138,0.0,b'tcp',b'http',b'SF',1,13.0,13.0,0.0,255.0,0.0,True
142,0.0,b'tcp',b'http',b'SF',1,3.0,6.0,0.0,255.0,0.0,True
148,0.0,b'tcp',b'http',b'SF',1,1.0,1.0,0.0,255.0,0.01,True
149,0.0,b'tcp',b'http',b'SF',1,4.0,4.0,0.0,255.0,0.01,True
150,0.0,b'tcp',b'http',b'SF',1,2.0,2.0,0.0,255.0,0.01,True
151,0.0,b'tcp',b'http',b'SF',1,12.0,12.0,0.0,255.0,0.01,True
153,0.0,b'tcp',b'http',b'SF',1,7.0,7.0,0.0,255.0,0.01,True
161,0.0,b'tcp',b'http',b'SF',1,2.0,5.0,0.0,255.0,0.0,True
